cotizante_tipo_id,cotizante_id,afiliado_tipo_id,afiliado_id,primer_apellido,segundo_apellido,primer_nombre,segundo_nombre,sexo,dpto_afiliacion,mpio_afiliacion,dpto_residencia,mpio_residencia,direccion_residencia,telefono_residencia,telefono_movil,fecha_nacimiento,fecha_afiliacion,fecha_aplicacion_cambio_estado,descripcion_estamento,estado_afiliado_id,subestado_afiliado_id,eps_tipo_afiliado_id,parentesco,fecha_estao_corte,fecha_corte,correo_electronico,edad,medico_familiar,plan_atencion,etnia,discapacidad,tipo_discapacidad,nombre_afiliado,plan,fecha_inicio_cobertura,fecha_fin_cobertura,antiguedad_anios,anio_afiliacion
CC,6307D4D1,CC,6307D4D1,MOJO,LUIGI,MIGUELITO,GOHAN,M,76,001,76,001,TRANS 103 # 12-24,301132633988684966,36867348153,30/08/1964,01/02/2002,06/10/2008,EMPLEADO PUBLICO DOCENTE DECRETO 1279,AC,A01,C,,,26/06/2026,miguelito.mojo6307@example.com,61,SUSANITA MILK VORTEX PYM,5,NINGUNA DE LAS ANTERIORES,NO,,MOJO LUIGI MIGUELITO GOHAN,COTIZANTES SSUV,,,24.4,2002
CC,46B82659,CC,46B82659,ROGERS,KOOPA,BART,DONALD,M,76,001,76,364,DIAG 2 # 79-79,321904360569043644,34694421106,05/01/1959,01/09/2009,07/09/2009,EMPLEADO PUBLICO DOCENTE DECRETO 1279,AC,A01,C,,,26/06/2026,bart.rogers46b8@example.com,67,MAGGIE SUSANITA PLANKTON CAGE,5,NINGUNA DE LAS ANTERIORES,NO,,ROGERS KOOPA BART DONALD,COTIZANTES SSUV,,,16.8,2009
CC,05D1FB63,CC,05D1FB63,BURBUJA,KOOPA,PEPPA,VANELLOPE,F,76,001,76,001,CLL 19 # 67-40,305303261518710404,3464638989,15/01/1957,07/11/2000,06/10/2008,TRABAJADOR OFICIAL CONVENCION COLEC,AC,A01,C,,,26/06/2026,peppa.burbuja05d1@example.com,69,MOANA LISA MCPATO BOMBON,5,NINGUNA DE LAS ANTERIORES,NO,,BURBUJA KOOPA PEPPA VANELLOPE,COTIZANTES SSUV,,,25.6,2000
CC,A7D4CF50,CC,A7D4CF50,STORM,TRUENO,MINNIE,,F,76,001,76,001,DIAG 85 # 87-73,3014497905735805416,3318927500,10/06/1980,01/09/2014,01/09/2014,EMPLEADO PUBLICO NO DOCENTE,AC,A01,C,,,26/06/2026,minnie.storma7d4@example.com,46,GERALD PAPALOTE MURDOCK MOJO,5,,NO,,STORM TRUENO MINNIE,COTIZANTES SSUV,,,11.8,2014
CC,00473139,CC,00473139,DIMMSDALE,QUILL,GARFIELD,,M,76,001,76,122,TRANS 75 # 91-37,3215390050674817989,3033039375813012170,09/11/1979,02/01/2018,17/01/2018,EMPLEADO PUBLICO DOCENTE DECRETO 1279,AC,A01,C,,,26/06/2026,garfield.dimmsdale0047@example.com,46,GERALD PAPALOTE MURDOCK MOJO,5,NINGUNA DE LAS ANTERIORES,NO,,DIMMSDALE QUILL GARFIELD,COTIZANTES SSUV,,,8.5,2018
CC,1FD5A423,CC,1FD5A423,BLAZE,QUILL,MICKEY,,M,76,001,76,001,DIAG 4 # 60-51,349571813410290616,3918536106,13/10/1949,01/11/1970,06/10/2008,PENSIONADO PUBLICO,AC,A01,C,,,26/06/2026,mickey.blaze1fd5@example.com,76,GERALD PAPALOTE MURDOCK MOJO,5,MESTIZO,NO,,BLAZE QUILL MICKEY,COTIZANTES SSUV,,,55.6,1970
CC,5D71A898,CC,5D71A898,SAMURAI,QUILL,TAZ,ASTERIX,M,76,001,76,001,DIAG 105 # 85-89,396702589127177326857,3810528941,24/06/1936,01/08/1986,06/10/2008,PENSIONADO OFICIAL,AC,A01,C,,,26/06/2026,taz.samurai5d71@example.com,90,SUSANITA MILK VORTEX PYM,5,INDIGENA,NO,,SAMURAI QUILL TAZ ASTERIX,COTIZANTES SSUV,,,39.9,1986
CC,812A1F9B,CC,812A1F9B,RAMBEAU,MOJO,DEEDEE,,F,76,001,76,001,CRA 7 # 60-72,38631855256767879054,31166911534052426996969768699,12/08/1938,29/12/2021,29/12/2021,PENSIONADO SOBREVIVIENTE,AC,A01,C,,,26/06/2026,deedee.rambeau812a@example.com,87,NEMO MARLIN LUIGI KENT,5,NINGUNA DE LAS ANTERIORES,NO,,RAMBEAU MOJO DEEDEE,COTIZANTES SSUV,,,4.5,2021
CC,768B4F7E,CC,768B4F7E,PYM,BOMBON,CONDORITO,BRUTUS,M,76,001,76,001,DIAG 7 # 9-69,3281604137964049703834,3103111557,16/09/1942,01/08/1986,06/10/2008,PENSIONADO PUBLICO,AC,A01,C,,,26/06/2026,condorito.pym768b@example.com,83,GERALD PAPALOTE MURDOCK MOJO,5,MESTIZO,NO,,PYM BOMBON CONDORITO BRUTUS,COTIZANTES SSUV,,,39.9,1986
CC,10BA58E3,CC,10BA58E3,PLANKTON,QUILL,GOHAN,,M,76,001,76,001,DIAG 11 # 30-26,33078490824560943201302,3239354035,27/11/1946,27/08/1979,06/10/2008,PENSIONADO OFICIAL,AC,A01,C,,,26/06/2026,gohan.plankton10ba@example.com,79,SUSANITA MILK VORTEX PYM,5,NINGUNA DE LAS ANTERIORES,NO,,PLANKTON QUILL GOHAN,COTIZANTES SSUV,,,46.8,1979
